"R0000100","R0536300","R0536401","R0536402","R0536600","R1201300","R1204500","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R2516200","R3828100","R5342000","R7085900","S1527400","S3592800","S4967700","S6707500","S8680100","T1100000","T3177200","T4588300","T6221600","T7718800","T9119400","U1110900"
1318,1,11,1984,12,1,34200,1,12,10,12,10,4,14,15,16,17,18,19,20,21,21,22,24,24,25,26,29,31
1319,2,9,1984,12,1,28000,1,11,12,11,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1320,1,7,1980,16,1,58875,1,14,13,14,13,4,18,19,20,21,22,23,24,-5,26,27,28,29,30,31,33,-5
1321,1,10,1982,14,1,58875,1,14,13,14,13,4,16,17,18,19,20,21,22,23,24,25,26,27,28,28,31,33
1322,2,10,1982,14,1,49700,1,18,14,18,14,4,16,17,18,19,20,21,22,23,24,25,26,26,28,29,31,33
1323,1,7,1984,12,1,81265,1,13,14,13,14,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
1324,2,6,1980,16,1,17920,1,12,12,-4,12,1,18,19,-5,-5,22,23,24,25,26,27,28,29,30,31,33,35
1325,2,10,1982,14,2,40000,1,20,16,-4,16,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
1326,1,2,1983,14,1,32000,1,9,12,12,12,4,15,16,17,18,19,20,22,-5,23,24,25,26,27,28,30,32
1327,2,12,1981,15,1,36900,1,12,12,-4,12,4,17,17,-5,-5,21,-5,-5,-5,-5,-5,-5,28,28,29,-5,-5
1328,2,10,1980,16,1,18000,1,10,14,-4,14,1,18,19,20,21,22,23,24,25,26,27,28,28,30,30,33,35
1329,2,3,1981,15,1,19200,1,12,12,-4,12,2,17,18,20,20,21,22,23,24,25,26,27,28,29,30,32,34
1330,2,3,1982,14,1,162500,1,18,17,18,17,4,16,18,18,20,20,21,23,23,24,25,26,-5,-5,-5,32,34
1331,2,7,1983,13,1,-3,1,18,16,18,16,4,15,16,17,18,19,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1332,1,2,1980,17,-4,-4,1,16,12,16,12,4,18,19,20,-5,22,23,24,25,26,27,28,29,30,31,33,36
1333,2,9,1982,14,-4,-4,1,16,12,16,12,4,16,17,-5,19,20,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
1334,2,9,1980,16,1,246474,1,20,18,20,-4,4,-5,-5,-5,-5,22,23,-5,-5,26,27,28,29,30,31,33,35
1335,1,12,1980,16,1,246474,1,18,16,18,16,4,17,19,20,20,21,22,23,24,25,27,27,28,29,30,33,34
