"R0000100","R0536300","R0536401","R0536402","R0536600","R1201300","R1204500","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R2516200","R3828100","R5342000","R7085900","S1527400","S3592800","S4967700","S6707500","S8680100","T1100000","T3177200","T4588300","T6221600","T7718800","T9119400","U1110900"
1,2,9,1981,15,3,-3,1,16,8,16,8,4,17,18,19,20,21,22,23,24,25,26,27,28,29,29,32,34
2,1,7,1982,14,-4,-4,1,17,15,14,15,2,16,17,18,19,20,21,22,23,-5,-5,26,27,28,29,31,33
3,2,9,1983,13,1,63000,1,-3,12,-4,12,2,15,16,17,18,19,20,21,-5,-5,-5,-5,26,-5,28,30,-5
4,2,2,1981,15,3,11700,1,12,12,-4,12,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
5,1,10,1982,15,3,-3,1,12,12,12,12,2,16,17,18,19,20,21,22,23,24,25,26,26,28,29,31,33
6,2,1,1982,15,1,-3,1,-3,12,-4,12,2,16,17,19,20,20,22,23,24,25,25,26,27,28,29,31,34
7,1,4,1983,14,1,-3,1,-3,12,-4,12,2,15,16,17,18,19,-5,-5,22,23,-5,-5,26,27,28,-5,32
8,2,6,1981,16,3,-3,1,6,12,6,12,4,17,18,19,20,21,22,23,24,25,26,-5,28,-5,30,-5,34
9,1,10,1982,15,3,-3,1,6,12,6,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
10,1,3,1984,14,3,-3,1,6,12,6,12,4,14,15,16,17,18,19,20,21,22,23,24,25,-5,-5,-5,-5
11,2,6,1982,15,1,25000,1,12,14,-4,14,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
12,1,10,1981,15,1,0,1,-3,12,12,12,2,17,18,19,20,21,22,23,-5,25,26,27,28,29,29,32,34
13,1,11,1984,12,-4,-4,1,-3,6,-4,6,2,13,15,16,16,18,18,20,21,22,23,24,25,26,26,29,31
14,1,7,1980,16,1,0,1,12,12,12,12,2,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,-5,35
15,2,1,1983,14,-4,-4,1,13,12,13,12,2,15,17,18,19,20,21,22,22,23,-5,-5,27,28,28,-5,-5
16,1,2,1982,15,3,13000,1,10,11,-4,11,2,16,17,18,20,20,21,22,23,25,25,27,27,28,29,31,33
17,2,11,1981,15,1,3750,1,-3,14,10,14,2,17,18,19,-5,-5,-5,23,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,1,2,1982,15,1,0,1,10,15,-4,15,1,16,17,19,-5,20,21,23,23,24,25,26,27,28,29,32,34
19,1,4,1984,12,1,0,1,10,15,-4,15,1,14,15,16,18,18,19,20,21,22,-5,-5,25,26,27,-5,31
20,1,12,1980,16,1,-3,1,10,11,-4,11,1,17,19,20,-5,21,22,24,-5,-5,-5,-5,-5,30,-5,-5,35
21,1,8,1982,14,3,0,1,11,13,-4,13,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
22,1,6,1982,14,1,-3,1,12,11,-4,11,2,16,17,18,19,20,21,22,-5,-5,25,-5,-5,28,29,31,33
23,2,1,1983,14,3,-3,1,10,10,-4,10,2,15,16,17,18,20,21,21,22,23,24,25,26,27,28,30,32
24,1,6,1984,12,3,-3,1,5,7,13,7,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
25,2,3,1983,13,1,0,1,12,12,12,12,2,15,16,17,18,19,21,21,22,23,24,25,26,27,28,30,32
26,1,10,1980,16,1,-3,1,-3,12,-4,12,1,18,19,20,21,22,23,24,25,26,27,28,29,30,30,33,35
27,1,5,1981,15,1,-3,1,8,10,-4,10,1,-5,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
28,2,11,1983,13,2,13000,1,12,12,16,12,1,15,16,17,18,19,20,21,22,23,24,25,25,27,27,30,32
29,2,1,1983,14,2,-3,1,-3,-3,-3,-3,4,16,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,1,6,1981,15,1,-3,1,-3,-3,-3,-3,4,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,1,7,1982,14,-4,-4,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
32,2,7,1981,15,-4,-4,1,16,16,16,16,4,17,18,-5,20,21,22,23,-5,-5,-5,27,28,29,30,32,34
33,2,12,1980,16,1,-3,1,16,14,16,14,4,18,18,19,21,22,22,23,25,25,26,27,28,29,30,32,34
34,2,12,1984,12,2,9800,1,9,16,9,16,4,14,15,16,17,18,19,19,20,21,22,23,24,25,26,29,30
35,1,1,1983,13,-4,-4,1,-3,-3,-3,-3,4,16,16,17,18,19,20,22,22,23,24,25,26,27,28,30,32
36,2,8,1980,16,1,40500,1,16,15,16,15,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
37,2,11,1980,16,1,47500,1,11,-3,11,-3,4,18,19,20,21,22,23,24,25,26,27,27,29,30,31,33,35
38,2,9,1981,15,1,47500,1,11,-3,11,-3,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
39,1,2,1980,16,3,-3,1,-3,-3,-3,-3,2,19,19,20,21,22,23,24,25,-3,27,28,29,-5,31,34,35
40,2,5,1984,12,-4,-4,1,12,12,12,12,4,14,15,16,17,18,-5,20,-5,-5,-5,-5,-5,-5,-5,-5,-5
41,2,1,1983,14,-4,-4,1,12,12,12,12,4,16,16,17,18,19,20,22,22,23,24,25,26,27,28,30,32
42,1,8,1983,13,-4,-4,1,-3,-3,-3,-3,4,15,16,17,18,19,20,21,22,23,24,25,26,27,-5,-5,-5
43,2,10,1981,15,1,-3,1,-4,-3,-4,-3,1,17,18,19,-5,21,22,23,24,24,26,27,27,29,29,32,34
44,1,12,1981,15,3,0,1,-3,-3,-3,-3,2,17,18,19,20,21,22,22,24,25,26,27,27,28,29,31,33
45,2,2,1984,13,1,-3,1,-4,8,-4,8,1,15,16,17,18,18,20,21,21,22,23,24,25,26,27,29,31
46,1,2,1984,13,1,-3,1,-4,8,-4,8,1,15,15,16,17,18,19,21,-5,-5,-5,24,-5,-5,28,30,31
47,2,9,1982,14,1,5500,1,-4,11,-4,-4,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
48,2,7,1983,13,1,5500,1,-4,11,-4,-4,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
49,2,12,1982,14,1,-3,1,-3,12,-3,12,1,15,17,18,19,20,20,22,23,23,24,25,26,27,29,31,33
50,2,2,1983,14,1,-3,1,-4,12,-4,12,1,15,16,17,18,19,20,22,22,23,24,25,26,27,28,30,32
51,1,6,1980,16,1,3750,1,-4,12,-4,12,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
52,1,12,1983,13,1,3750,1,-4,12,-4,12,1,14,16,17,18,18,20,20,22,22,23,24,25,26,27,30,32
53,2,4,1984,13,1,-3,1,12,12,12,12,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
54,2,12,1984,12,1,-3,1,-4,14,-4,-4,1,13,15,16,17,18,19,20,21,21,22,23,24,25,26,29,31
55,2,2,1981,16,1,-3,1,12,10,12,10,2,18,18,19,21,21,22,23,24,25,26,27,28,29,30,32,34
56,2,2,1982,15,1,110700,1,16,18,16,18,4,16,17,19,20,20,21,22,23,24,25,26,27,28,29,31,33
57,1,12,1982,15,3,0,1,12,12,12,12,1,15,17,18,18,19,20,21,22,23,25,25,26,27,28,30,32
58,1,11,1983,13,1,25500,1,12,12,12,12,1,15,16,17,18,19,20,21,22,23,-5,25,26,27,28,30,32
59,2,4,1981,15,1,22800,1,-4,16,-4,-4,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
60,1,1,1984,13,3,56600,1,-4,14,12,14,4,15,15,16,17,18,19,21,21,22,24,24,26,27,28,-5,31
61,2,5,1983,13,3,-3,1,12,12,-4,12,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
62,1,3,1980,16,1,150000,1,14,14,14,14,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
63,2,10,1984,12,1,150000,1,14,14,14,14,1,14,15,16,17,18,19,20,21,22,23,24,24,26,26,29,31
64,1,3,1980,17,-4,40000,1,12,15,12,15,1,18,19,20,21,22,23,24,25,26,27,28,29,-5,-5,-5,-5
65,1,4,1984,13,3,-3,1,-3,95,-3,95,1,14,15,16,17,18,19,20,21,22,23,24,25,26,28,-5,-5
66,1,10,1980,16,2,-3,1,12,-3,-4,18,1,18,19,20,21,22,23,24,25,-5,27,28,29,-5,-5,-5,-5
67,1,11,1980,16,2,-3,1,12,18,-4,18,1,17,19,20,21,22,23,24,25,26,27,28,28,30,31,33,35
68,1,1,1981,16,3,-3,1,12,-4,-4,18,1,17,18,20,20,21,23,24,24,25,26,27,28,29,30,32,34
69,2,7,1981,15,3,-3,1,12,16,12,16,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,-5,-5
70,1,8,1982,14,3,-3,1,12,16,12,16,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
71,1,1,1980,17,1,26015,1,14,14,-4,-4,1,19,20,21,21,22,23,25,26,27,27,28,29,30,31,-5,35
72,2,4,1982,14,-4,-4,1,12,11,12,11,1,16,17,18,19,20,21,22,23,24,-5,-5,-5,-5,-5,-5,34
73,1,10,1984,12,-4,-4,1,12,11,12,11,1,14,15,16,17,18,19,20,21,22,-5,-5,-5,-5,-5,-5,-5
74,1,7,1983,14,1,-3,1,-3,-3,-3,-3,4,15,16,17,18,19,20,-5,22,23,24,25,26,27,28,30,32
75,1,1,1982,15,-4,-4,1,8,-3,8,-4,4,17,17,18,19,20,21,22,23,24,25,26,27,28,29,32,34
76,1,1,1982,15,-4,-4,1,8,-3,8,-4,4,17,17,18,19,20,22,22,23,24,25,26,28,28,29,-5,34
77,2,11,1984,12,1,35500,1,12,12,12,12,2,14,14,16,17,18,19,20,21,22,-5,24,-5,-5,-5,-5,-5
78,2,7,1981,16,1,-3,1,-4,-3,-4,-3,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
79,1,12,1983,13,3,-3,1,14,11,14,-4,2,14,15,16,18,19,20,21,21,22,23,25,25,26,27,30,31
80,1,6,1981,15,1,30000,1,14,12,-4,12,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
81,2,1,1984,13,1,4810,1,12,12,-4,12,1,15,15,17,18,18,19,20,21,22,23,24,25,26,27,29,32
82,1,7,1984,13,3,-3,1,-4,-3,-4,-3,2,14,15,16,17,18,19,-5,21,22,23,24,25,26,27,29,31
83,1,9,1981,15,3,-3,1,12,6,-4,6,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
84,2,2,1984,13,3,-3,1,12,6,-4,6,2,14,15,16,17,18,19,-5,-5,-5,23,24,25,26,27,29,31
85,1,2,1984,13,1,12000,1,12,12,-4,12,4,15,15,16,17,18,20,20,22,22,23,24,25,26,27,30,31
86,2,10,1980,16,1,-3,1,12,12,12,12,4,18,19,20,21,22,23,24,25,26,27,27,28,30,30,33,35
87,1,5,1984,12,1,42500,1,14,12,14,12,2,14,15,16,17,18,19,20,21,22,23,24,25,-5,-5,-5,-5
88,1,1,1981,15,-4,-4,1,12,12,12,12,4,18,18,20,20,22,23,-5,-5,-5,-5,-5,-5,-5,30,33,-5
89,1,11,1981,15,-4,-4,1,6,6,6,6,4,16,17,18,20,21,22,23,24,24,25,26,27,28,29,32,33
90,1,11,1981,15,2,-3,1,12,16,12,16,2,17,18,19,20,21,21,23,24,24,25,26,27,28,29,32,33
91,2,9,1982,14,2,-3,1,12,16,12,16,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,-5
92,1,4,1983,14,3,37600,1,12,10,12,10,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
93,1,9,1983,13,2,29000,1,12,8,12,8,2,15,16,17,18,19,-5,21,22,23,24,25,26,27,28,-5,32
94,2,9,1980,16,1,17500,1,12,10,-4,10,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
95,1,7,1982,14,3,34738,1,8,8,8,8,2,-5,-5,-5,-5,-5,-5,22,-5,24,25,-5,-5,-5,-5,-5,-5
96,1,7,1982,14,3,75500,1,14,12,14,12,4,16,17,-5,-5,-5,-5,-5,-5,-5,-5,26,-5,-5,-5,-5,-5
97,1,6,1980,16,1,41100,1,12,12,12,12,2,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
98,1,1,1980,16,-4,-4,1,-3,-3,-3,-3,4,18,-5,21,22,23,24,-5,26,-5,-5,-5,29,31,32,-5,-5
99,1,6,1982,14,2,-3,1,-4,8,10,8,2,16,17,18,19,20,21,22,-5,-5,-5,-5,-5,-5,-5,-5,-5
100,2,1,1981,16,3,26000,1,-3,10,-4,10,1,17,18,19,20,22,22,23,24,25,26,27,28,29,30,32,34
101,2,7,1981,16,1,-3,1,-4,6,-4,6,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
102,2,4,1982,14,1,80000,1,12,12,12,12,2,16,17,18,19,20,-5,-5,-5,-5,25,-5,-5,-5,30,-5,-5
103,2,11,1983,13,1,80000,1,12,12,12,12,2,15,16,17,17,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,2,11,1980,16,1,75673,1,16,13,16,13,4,18,19,20,21,22,22,24,25,26,26,28,28,30,30,33,34
105,1,8,1983,13,1,75673,1,16,13,16,13,4,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
106,1,11,1981,15,1,92300,1,12,16,12,16,4,17,18,19,-5,-5,-5,-5,-5,-5,-5,27,-5,-5,-5,-5,-5
107,2,8,1982,14,1,135000,1,19,16,19,16,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
108,1,9,1984,12,1,135000,1,19,16,19,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
109,2,3,1982,14,1,76500,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
110,2,2,1984,13,1,76500,1,12,12,12,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
111,2,1,1981,16,1,63850,1,-4,-4,13,12,4,17,18,20,21,21,22,23,24,25,26,27,28,29,30,32,35
112,2,4,1984,13,-4,-4,1,12,12,12,12,4,15,15,16,17,18,19,20,21,22,-5,-5,-5,-5,-5,-5,-5
113,1,4,1984,12,1,66600,1,12,15,-4,15,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
114,2,7,1982,14,1,76716,1,13,12,13,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
115,2,10,1984,12,3,-3,1,12,12,12,12,2,14,15,16,17,18,19,-5,-5,-5,-5,24,-5,-5,27,-5,-5
116,1,10,1984,12,1,31750,1,12,12,-4,12,1,14,15,-5,-5,18,19,20,21,22,23,24,24,26,26,29,31
117,1,10,1984,12,1,31750,1,12,12,-4,12,1,14,15,-5,-5,18,19,20,21,22,23,24,24,26,26,29,31
118,1,6,1980,16,1,98500,1,16,12,16,12,4,-5,-5,20,21,22,23,24,25,26,27,28,-5,-5,-5,-5,-5
119,1,9,1982,14,2,246474,1,12,15,12,15,4,-5,-5,-5,19,-5,-5,-5,-5,-5,25,-5,27,-5,-5,31,-5
120,1,6,1982,14,-4,-4,1,17,16,17,-4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,33
121,1,12,1981,15,1,77900,1,14,14,14,14,4,17,17,19,20,20,21,23,-5,-5,-5,27,-5,-5,-5,32,34
122,1,6,1984,12,1,77900,1,14,14,14,14,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
123,1,2,1980,16,-4,-4,1,12,15,12,15,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,1,2,1982,14,-4,-4,1,12,15,12,15,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,2,5,1984,12,1,-3,1,18,16,18,16,4,-5,15,-5,-5,-5,-5,20,22,-5,-5,-5,-5,-5,-5,-5,-5
126,1,5,1981,15,-4,-4,1,-4,12,-4,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
127,2,3,1982,15,-4,-4,1,16,16,16,16,4,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,31,33
128,2,8,1982,14,3,93000,1,18,16,-4,16,4,16,17,18,19,20,21,22,23,24,-5,26,27,28,29,31,33
129,2,8,1980,16,-4,-4,1,17,-4,17,16,4,18,19,20,21,22,23,24,-5,-5,-5,-5,-5,-5,-5,-5,-5
130,2,7,1981,15,-4,-4,1,17,-4,17,16,4,17,18,19,20,21,-5,-5,-5,-5,-5,27,-5,-5,-5,-5,-5
131,1,10,1980,16,1,40200,1,16,16,16,16,4,18,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,1,2,1983,14,1,42047,1,16,16,16,16,4,15,16,17,18,19,-5,-5,23,23,24,26,26,27,28,-5,-5
133,1,7,1982,14,2,51160,1,16,16,16,16,4,-5,17,-5,19,-5,21,-5,-5,-5,25,26,27,28,29,31,33
134,1,4,1984,12,-4,-4,1,16,14,16,14,4,14,15,16,17,18,19,21,21,-5,-5,-5,-5,-5,-5,-5,-5
135,1,4,1981,15,1,72000,1,15,18,-4,18,4,17,-5,20,20,21,22,23,25,25,26,27,28,29,30,-5,-5
136,2,9,1983,13,1,-3,1,14,18,14,18,4,-5,16,17,18,19,-5,21,22,23,24,25,-5,-5,-5,-5,-5
137,2,5,1980,16,1,3400,1,-4,12,-4,12,4,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
138,1,4,1984,12,1,-3,1,18,16,18,16,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
139,2,7,1984,12,1,246474,1,16,18,16,18,4,14,15,16,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
140,1,12,1983,13,3,48750,1,14,12,16,12,2,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,25,-5,-5,-5,-5,-5
141,2,1,1980,17,1,-3,1,9,12,9,12,4,-5,20,-5,22,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,2,1,1981,16,1,38700,1,14,10,-4,10,4,17,18,20,20,-5,-5,-5,25,-5,26,-5,28,29,30,33,-5
143,1,8,1981,15,1,123000,1,14,12,14,12,1,17,18,19,20,21,22,-5,24,25,-5,27,28,29,30,32,34
144,1,8,1982,14,3,69500,1,12,16,12,16,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
145,1,4,1984,12,3,69500,1,12,16,12,16,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
146,1,7,1984,12,1,47000,1,12,12,12,12,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
147,2,2,1984,13,1,35000,1,13,12,13,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,32
148,2,10,1982,14,1,-3,1,12,6,-4,6,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
149,2,4,1983,14,1,-3,1,11,11,-4,11,1,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
150,1,2,1984,13,1,-3,1,-3,11,-4,11,1,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
151,2,1,1982,15,1,-3,1,11,11,-4,-4,1,16,18,19,-5,21,22,22,23,24,25,26,27,28,29,32,33
152,1,5,1982,15,-4,-4,1,14,12,14,12,1,16,17,18,19,-5,22,-5,23,24,25,26,27,28,29,31,34
153,2,2,1980,17,1,-3,1,13,10,12,10,1,19,19,20,21,22,24,25,25,26,27,28,29,30,31,33,35
154,1,6,1980,16,1,142700,1,20,19,20,19,4,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,1,2,1980,17,3,-3,1,18,14,18,14,4,19,19,21,21,22,24,24,25,26,27,28,29,30,31,33,35
156,1,11,1982,14,3,-3,1,18,14,18,14,4,16,17,18,19,20,21,22,23,24,25,25,26,28,28,31,33
157,2,3,1982,15,1,72000,1,12,12,12,12,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
158,1,12,1984,12,3,47000,1,-3,16,-3,16,2,13,14,16,17,18,18,20,21,21,22,23,24,25,26,28,30
159,2,1,1980,17,2,21,1,10,12,10,12,2,19,20,21,21,22,23,25,25,26,27,28,29,30,31,33,35
160,2,1,1981,16,1,5856,1,10,9,-4,9,2,18,19,20,21,21,22,24,-5,26,27,27,29,29,30,33,35
161,1,1,1982,15,1,5856,1,10,9,-4,9,2,17,17,19,19,20,21,23,24,25,25,-5,28,29,30,31,33
162,2,8,1981,16,1,40000,1,-4,-3,-4,-3,1,-5,-5,19,20,21,22,23,24,25,26,27,28,29,30,32,34
163,1,2,1983,15,1,40000,1,-4,-3,-4,-3,1,-5,-5,17,-5,20,21,-5,-5,24,24,-5,-5,28,29,31,32
164,2,7,1981,15,1,49000,1,12,12,12,12,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
165,1,4,1980,16,-4,-4,1,12,13,12,13,4,18,19,20,22,22,23,24,25,26,27,28,29,30,31,33,35
166,2,9,1982,14,-4,-4,1,12,13,12,13,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
167,1,11,1984,12,1,87000,1,12,8,12,8,2,14,15,16,17,18,19,20,21,22,22,23,24,25,26,28,30
168,1,1,1981,16,1,-3,1,12,13,12,13,2,17,18,20,21,22,-5,24,24,26,26,27,28,29,30,-5,-5
169,2,1,1983,14,1,30000,1,20,12,20,12,4,16,16,18,19,20,21,22,23,23,24,25,26,27,28,30,32
170,2,8,1984,12,1,30000,1,20,12,20,12,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
171,2,7,1984,12,1,54000,1,11,12,11,12,2,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
172,1,7,1983,13,1,119750,1,18,16,18,16,4,15,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,2,6,1980,16,1,104500,1,18,16,18,16,4,18,-5,-5,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,1,4,1983,14,1,104500,1,18,16,18,16,4,15,17,-5,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,2,10,1981,15,1,-3,1,18,16,18,16,4,17,18,19,20,21,22,-5,-5,25,26,27,-5,-5,-5,-5,-5
176,1,9,1982,14,1,-3,1,18,13,18,13,4,16,17,18,19,20,21,22,23,24,25,26,26,28,29,31,33
177,2,11,1980,16,1,52425,1,12,16,12,16,4,17,19,20,21,22,23,24,25,25,26,27,28,29,30,32,34
178,2,3,1980,17,1,-3,1,18,12,18,12,4,-5,19,-5,-5,-5,-5,25,25,27,27,-5,29,30,31,34,36
179,2,9,1981,15,1,-3,1,18,12,18,12,4,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
180,1,9,1983,13,1,-3,1,18,12,18,12,4,15,16,-5,-5,-5,20,21,22,23,24,-5,26,27,28,30,32
181,2,11,1982,14,1,111750,1,20,18,20,18,4,16,17,18,19,20,21,22,23,24,24,25,27,28,28,31,32
182,2,5,1984,12,1,111750,1,20,18,20,18,4,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31
183,2,12,1980,16,1,138750,1,20,16,20,16,4,18,18,20,21,22,22,23,24,25,26,27,28,29,30,32,34
184,1,12,1984,12,1,60000,1,16,14,16,14,4,14,15,16,16,18,18,20,20,21,23,23,-5,-5,-5,-5,-5
185,1,6,1981,15,1,92500,1,12,12,12,12,1,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,-5
186,2,7,1983,13,-4,-4,1,-3,-3,-3,-3,4,15,16,17,18,19,20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
187,1,9,1983,13,1,75500,1,14,12,14,12,2,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
188,2,10,1980,16,1,26000,1,12,12,-4,12,4,18,19,-5,-5,-5,23,24,25,-5,-5,-5,-5,-5,-5,33,35
189,2,8,1984,12,-4,-4,1,-4,12,-4,12,4,14,15,16,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
190,1,10,1983,13,1,-3,1,12,16,-4,16,4,15,16,17,18,19,-5,21,-5,-5,-5,25,26,27,28,30,32
191,1,2,1982,14,1,80500,1,-4,-4,16,16,4,16,17,-5,19,20,22,22,24,25,25,27,27,28,29,32,-5
192,2,3,1982,14,3,3070,1,16,15,-4,15,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
193,2,2,1981,15,2,35820,1,10,12,-4,12,1,17,-5,20,21,21,22,23,25,26,26,27,28,29,30,32,34
194,2,10,1980,16,1,43000,1,-3,14,-4,-4,2,18,19,20,-5,22,23,24,25,26,27,28,28,30,30,33,35
195,1,1,1983,14,1,40100,1,-3,14,-4,14,1,15,16,17,19,19,20,22,22,23,24,25,26,27,28,31,32
196,1,4,1984,12,1,-3,1,14,19,14,19,2,14,-5,17,17,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
197,2,12,1981,15,1,-3,1,17,14,17,14,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,32,34
198,2,7,1980,16,-4,-4,1,12,11,-4,-4,4,18,19,20,21,22,23,24,-5,26,27,28,29,30,31,33,35
199,1,6,1982,14,1,115900,1,16,17,16,17,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
200,1,8,1980,16,1,-3,1,12,15,-4,15,4,18,19,20,21,22,23,24,25,-5,27,28,29,30,31,33,35
201,2,12,1983,13,2,80300,1,18,18,18,18,4,14,15,17,18,19,19,21,21,22,23,24,25,26,27,29,31
202,1,1,1982,14,-4,-4,1,12,12,12,12,4,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
203,2,1,1984,12,-4,-4,1,12,12,12,12,4,14,15,17,17,18,19,20,21,22,23,24,25,26,27,29,31
204,2,5,1981,15,1,41000,1,14,15,-4,15,4,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
205,2,11,1983,13,1,41000,1,14,15,-4,15,4,14,15,17,18,19,20,21,22,22,24,25,-5,-5,27,-5,-5
206,1,2,1982,16,2,17500,1,10,10,10,10,4,16,17,19,19,20,22,22,24,24,25,-5,28,28,29,31,34
207,2,11,1981,15,3,75500,1,8,12,8,12,4,17,18,19,20,21,22,23,-5,-5,-5,-5,-5,-5,-5,-5,34
208,2,3,1984,12,3,75500,1,8,12,8,12,4,14,15,16,17,18,19,20,-5,-5,-5,-5,-5,-5,-5,30,-5
209,1,6,1983,13,3,36000,1,8,8,8,8,2,15,16,17,18,19,20,21,22,-5,-5,-5,-5,-5,-5,-5,-5
210,1,5,1984,12,3,36000,1,8,8,8,8,2,14,15,16,17,18,19,20,-5,22,-5,-5,-5,-5,-5,-5,-5
211,2,6,1980,16,3,-3,1,4,4,4,4,2,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
212,1,2,1980,17,2,17900,1,8,12,8,12,2,19,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
213,2,4,1982,15,3,17900,1,8,12,8,12,2,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,33
214,2,11,1982,14,2,37400,1,16,12,16,12,2,16,17,18,19,20,21,22,23,24,25,26,27,28,-5,31,33
215,1,5,1981,15,2,-3,1,12,12,-4,12,2,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34
216,2,6,1980,16,3,71900,1,6,11,6,11,2,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35
